PGN	Parameter Group Label	SPN	Name	Data Range
2048	Auxiliary Input/Output Status 5	4156	Auxiliary I/O Channel #5	"0 to 64,255 counts"
2048	Auxiliary Input/Output Status 5	4157	Auxiliary I/O Channel #4	"0 to 64,255 counts"
2048	Auxiliary Input/Output Status 5	4158	Auxiliary I/O Channel #3	"0 to 64,255 counts"
39680	Proprietary Method Identification	4180	Data Dictionary Manufacturer Code	0 to 2047
39680	Proprietary Method Identification	4181	Data Dictionary Method	0 to 2097151
39936	Auxiliary Input/Output Status 7	4167	Auxiliary I/O Channel #18	0 to 250
39936	Auxiliary Input/Output Status 7	4168	Auxiliary I/O Channel #17	0 to 250
39936	Auxiliary Input/Output Status 7	4169	Auxiliary I/O Channel #16	0 to 250
39936	Auxiliary Input/Output Status 7	4170	Auxiliary I/O Channel #15	0 to 250
39936	Auxiliary Input/Output Status 7	4171	Auxiliary I/O Channel #22	0 to 250
39936	Auxiliary Input/Output Status 7	4172	Auxiliary I/O Channel #21	0 to 250
39936	Auxiliary Input/Output Status 7	4173	Auxiliary I/O Channel #20	0 to 250
39936	Auxiliary Input/Output Status 7	4174	Auxiliary I/O Channel #19	0 to 250
40192	Auxiliary Input/Output Status 6	4159	Auxiliary I/O Channel #10	0 to 250
40192	Auxiliary Input/Output Status 6	4160	Auxiliary I/O Channel #9	0 to 250
40192	Auxiliary Input/Output Status 6	4161	Auxiliary I/O Channel #8	0 to 250
40192	Auxiliary Input/Output Status 6	4162	Auxiliary I/O Channel #7	0 to 250
40192	Auxiliary Input/Output Status 6	4163	Auxiliary I/O Channel #14	0 to 250
40192	Auxiliary Input/Output Status 6	4164	Auxiliary I/O Channel #13	0 to 250
40192	Auxiliary Input/Output Status 6	4165	Auxiliary I/O Channel #12	0 to 250
40192	Auxiliary Input/Output Status 6	4166	Auxiliary I/O Channel #11	0 to 250
42240	Auxiliary Input/Output Status 4	3907	Auxiliary I/O #84	0 to 3
42240	Auxiliary Input/Output Status 4	3906	Auxiliary I/O #83	0 to 3
42240	Auxiliary Input/Output Status 4	3905	Auxiliary I/O #82	0 to 3
42240	Auxiliary Input/Output Status 4	3904	Auxiliary I/O #81	0 to 3
42240	Auxiliary Input/Output Status 4	3911	Auxiliary I/O #88	0 to 3
42240	Auxiliary Input/Output Status 4	3910	Auxiliary I/O #87	0 to 3
42240	Auxiliary Input/Output Status 4	3909	Auxiliary I/O #86	0 to 3
42240	Auxiliary Input/Output Status 4	3908	Auxiliary I/O #85	0 to 3
42240	Auxiliary Input/Output Status 4	3915	Auxiliary I/O #92	0 to 3
42240	Auxiliary Input/Output Status 4	3914	Auxiliary I/O #91	0 to 3
42240	Auxiliary Input/Output Status 4	3913	Auxiliary I/O #90	0 to 3
42240	Auxiliary Input/Output Status 4	3912	Auxiliary I/O #89	0 to 3
42240	Auxiliary Input/Output Status 4	3919	Auxiliary I/O #96	0 to 3
42240	Auxiliary Input/Output Status 4	3918	Auxiliary I/O #95	0 to 3
42240	Auxiliary Input/Output Status 4	3917	Auxiliary I/O #94	0 to 3
42240	Auxiliary Input/Output Status 4	3916	Auxiliary I/O #93	0 to 3
42240	Auxiliary Input/Output Status 4	3923	Auxiliary I/O #100	0 to 3
42240	Auxiliary Input/Output Status 4	3922	Auxiliary I/O #99	0 to 3
42240	Auxiliary Input/Output Status 4	3921	Auxiliary I/O #98	0 to 3
42240	Auxiliary Input/Output Status 4	3920	Auxiliary I/O #97	0 to 3
42240	Auxiliary Input/Output Status 4	3927	Auxiliary I/O #104	0 to 3
42240	Auxiliary Input/Output Status 4	3926	Auxiliary I/O #103	0 to 3
42240	Auxiliary Input/Output Status 4	3925	Auxiliary I/O #102	0 to 3
42240	Auxiliary Input/Output Status 4	3924	Auxiliary I/O #101	0 to 3
42240	Auxiliary Input/Output Status 4	3931	Auxiliary I/O #108	0 to 3
42240	Auxiliary Input/Output Status 4	3930	Auxiliary I/O #107	0 to 3
42240	Auxiliary Input/Output Status 4	3929	Auxiliary I/O #106	0 to 3
42240	Auxiliary Input/Output Status 4	3928	Auxiliary I/O #105	0 to 3
42240	Auxiliary Input/Output Status 4	3935	Auxiliary I/O #112	0 to 3
42240	Auxiliary Input/Output Status 4	3934	Auxiliary I/O #111	0 to 3
42240	Auxiliary Input/Output Status 4	3933	Auxiliary I/O #110	0 to 3
42240	Auxiliary Input/Output Status 4	3932	Auxiliary I/O #109	0 to 3
42496	Auxiliary Input/Output Status 3	3875	Auxiliary I/O #52	0 to 3
42496	Auxiliary Input/Output Status 3	3874	Auxiliary I/O #51	0 to 3
42496	Auxiliary Input/Output Status 3	3873	Auxiliary I/O #50	0 to 3
42496	Auxiliary Input/Output Status 3	3872	Auxiliary I/O #49	0 to 3
42496	Auxiliary Input/Output Status 3	3879	Auxiliary I/O #56	0 to 3
42496	Auxiliary Input/Output Status 3	3878	Auxiliary I/O #55	0 to 3
42496	Auxiliary Input/Output Status 3	3877	Auxiliary I/O #54	0 to 3
42496	Auxiliary Input/Output Status 3	3876	Auxiliary I/O #53	0 to 3
42496	Auxiliary Input/Output Status 3	3883	Auxiliary I/O #60	0 to 3
42496	Auxiliary Input/Output Status 3	3882	Auxiliary I/O #59	0 to 3
42496	Auxiliary Input/Output Status 3	3881	Auxiliary I/O #58	0 to 3
42496	Auxiliary Input/Output Status 3	3880	Auxiliary I/O #57	0 to 3
42496	Auxiliary Input/Output Status 3	3887	Auxiliary I/O #64	0 to 3
42496	Auxiliary Input/Output Status 3	3886	Auxiliary I/O #63	0 to 3
42496	Auxiliary Input/Output Status 3	3885	Auxiliary I/O #62	0 to 3
42496	Auxiliary Input/Output Status 3	3884	Auxiliary I/O #61	0 to 3
42496	Auxiliary Input/Output Status 3	3891	Auxiliary I/O #68	0 to 3
42496	Auxiliary Input/Output Status 3	3890	Auxiliary I/O #67	0 to 3
42496	Auxiliary Input/Output Status 3	3889	Auxiliary I/O #66	0 to 3
42496	Auxiliary Input/Output Status 3	3888	Auxiliary I/O #65	0 to 3
42496	Auxiliary Input/Output Status 3	3895	Auxiliary I/O #72	0 to 3
42496	Auxiliary Input/Output Status 3	3894	Auxiliary I/O #71	0 to 3
42496	Auxiliary Input/Output Status 3	3893	Auxiliary I/O #70	0 to 3
42496	Auxiliary Input/Output Status 3	3892	Auxiliary I/O #69	0 to 3
42496	Auxiliary Input/Output Status 3	3899	Auxiliary I/O #76	0 to 3
42496	Auxiliary Input/Output Status 3	3898	Auxiliary I/O #75	0 to 3
42496	Auxiliary Input/Output Status 3	3897	Auxiliary I/O #74	0 to 3
42496	Auxiliary Input/Output Status 3	3896	Auxiliary I/O #73	0 to 3
42496	Auxiliary Input/Output Status 3	3903	Auxiliary I/O #80	0 to 3
42496	Auxiliary Input/Output Status 3	3902	Auxiliary I/O #79	0 to 3
42496	Auxiliary Input/Output Status 3	3901	Auxiliary I/O #78	0 to 3
42496	Auxiliary Input/Output Status 3	3900	Auxiliary I/O #77	0 to 3
42752	Auxiliary Input/Output Status 2	3843	Auxiliary I/O #20	0 to 3
42752	Auxiliary Input/Output Status 2	3842	Auxiliary I/O #19	0 to 3
42752	Auxiliary Input/Output Status 2	3841	Auxiliary I/O #18	0 to 3
42752	Auxiliary Input/Output Status 2	3840	Auxiliary I/O #17	0 to 3
42752	Auxiliary Input/Output Status 2	3847	Auxiliary I/O #24	0 to 3
42752	Auxiliary Input/Output Status 2	3846	Auxiliary I/O #23	0 to 3
42752	Auxiliary Input/Output Status 2	3845	Auxiliary I/O #22	0 to 3
42752	Auxiliary Input/Output Status 2	3844	Auxiliary I/O #21	0 to 3
42752	Auxiliary Input/Output Status 2	3851	Auxiliary I/O #28	0 to 3
42752	Auxiliary Input/Output Status 2	3850	Auxiliary I/O #27	0 to 3
42752	Auxiliary Input/Output Status 2	3849	Auxiliary I/O #26	0 to 3
42752	Auxiliary Input/Output Status 2	3848	Auxiliary I/O #25	0 to 3
42752	Auxiliary Input/Output Status 2	3855	Auxiliary I/O #32	0 to 3
42752	Auxiliary Input/Output Status 2	3854	Auxiliary I/O #31	0 to 3
42752	Auxiliary Input/Output Status 2	3853	Auxiliary I/O #30	0 to 3
42752	Auxiliary Input/Output Status 2	3852	Auxiliary I/O #29	0 to 3
42752	Auxiliary Input/Output Status 2	3859	Auxiliary I/O #36	0 to 3
42752	Auxiliary Input/Output Status 2	3858	Auxiliary I/O #35	0 to 3
42752	Auxiliary Input/Output Status 2	3857	Auxiliary I/O #34	0 to 3
42752	Auxiliary Input/Output Status 2	3856	Auxiliary I/O #33	0 to 3
42752	Auxiliary Input/Output Status 2	3863	Auxiliary I/O #40	0 to 3
42752	Auxiliary Input/Output Status 2	3862	Auxiliary I/O #39	0 to 3
42752	Auxiliary Input/Output Status 2	3861	Auxiliary I/O #38	0 to 3
42752	Auxiliary Input/Output Status 2	3860	Auxiliary I/O #37	0 to 3
42752	Auxiliary Input/Output Status 2	3867	Auxiliary I/O #44	0 to 3
42752	Auxiliary Input/Output Status 2	3866	Auxiliary I/O #43	0 to 3
42752	Auxiliary Input/Output Status 2	3865	Auxiliary I/O #42	0 to 3
42752	Auxiliary Input/Output Status 2	3864	Auxiliary I/O #41	0 to 3
42752	Auxiliary Input/Output Status 2	3871	Auxiliary I/O #48	0 to 3
42752	Auxiliary Input/Output Status 2	3870	Auxiliary I/O #47	0 to 3
42752	Auxiliary Input/Output Status 2	3869	Auxiliary I/O #46	0 to 3
42752	Auxiliary Input/Output Status 2	3868	Auxiliary I/O #45	0 to 3
43008	Text Display	3613	Text Display Instructions	0 to 15
43008	Text Display	3614	Text Display Index	0 to 250
43008	Text Display	3615	Text Display Character	0 to 255 per byte
43264	Forward Lane Image Command	3564	Lane Departure Warning Enable Command	0 to 3
44544	Tire Pressure Reference Setting	3192	Tire Location	0 to 255
44544	Tire Pressure Reference Setting	3193	Reference Tire Pressure Setting	"0 to 2,000 kPa"
52992	Continuous Torque & Speed Limit Request	1784	Engine Speed Limit Request - Minimum Continuous	"0 to 8,000 rpm"
52992	Continuous Torque & Speed Limit Request	1785	Engine Speed Limit Request - Maximum Continuous	"0 to 8,000 rpm"
52992	Continuous Torque & Speed Limit Request	1786	Engine Torque Limit Request - Minimum Continuous	-125 to 125 %
52992	Continuous Torque & Speed Limit Request	1787	Engine Torque Limit Request - Maximum Continuous	-125 to 125 %
52992	Continuous Torque & Speed Limit Request	1788	Minimum Continuous Retarder Speed Limit Request	"0 to 8,000 rpm"
52992	Continuous Torque & Speed Limit Request	1789	Maximum Continuous Retarder Speed Limit Request	"0 to 8,000 rpm"
52992	Continuous Torque & Speed Limit Request	1790	Minimum Continuous Retarder Torque Limit Request	-125 to 125 %
52992	Continuous Torque & Speed Limit Request	1791	Maximum Continuous Retarder Torque Limit Request	-125 to 125 %
53248	Cab Illumination Message	1487	Illumination Brightness Percent	0 to 100 %
53504	Air Suspension Control 6	1732	Level Preset Front Axle Left	"-3,200 to 3,225.5 mm"
53504	Air Suspension Control 6	1757	Level Preset Front Axle Right	"-3,200 to 3,225.5 mm"
53504	Air Suspension Control 6	1758	Level Preset Rear Axle Left	"-3,200 to 3,225.5 mm"
53504	Air Suspension Control 6	1735	Level Preset Rear Axle Right	"-3,200 to 3,225.5 mm"
53760	Air Suspension Control 2	2984	Automatic traction help (load transfer)	0 to 3
53760	Air Suspension Control 2	1749	Kneeling Request Left Side	0 to 3
53760	Air Suspension Control 2	1748	Kneeling Request Right Side	0 to 3
53760	Air Suspension Control 2	1747	Kneeling Control Mode Request	0 to 3
53760	Air Suspension Control 2	1751	Nominal Level Request Front Axle	0 to 15
53760	Air Suspension Control 2	1750	Nominal Level Request Rear Axle	0 to 15
53760	Air Suspension Control 2	1753	Level Control Mode Request	0 to 15
53760	Air Suspension Control 2	1752	Lift Axle 1 Position Command	0 to 3
53760	Air Suspension Control 2	1828	Lift Axle 2 Position Command	0 to 3
53760	Air Suspension Control 2	1718	Damper Stiffness Request Front Axle	0 to 100 %
53760	Air Suspension Control 2	1719	Damper Stiffness Request Rear Axle	0 to 100 %
53760	Air Suspension Control 2	1720	Damper Stiffness Request Lift / Tag Axle	0 to 100 %
53760	Air Suspension Control 2	1830	Kneeling Command - Front Axle	0 to 3
53760	Air Suspension Control 2	1829	Kneeling Command - Rear Axle	0 to 3
53760	Air Suspension Control 2	3215	Prohibit air suspension control	0 to 3
54528	Time/Date Adjust	1603	Adjust seconds	0 to 62.5 s
54528	Time/Date Adjust	1604	Adjust minutes	0 to 250 mins
54528	Time/Date Adjust	1605	Adjust hours	0 to 250 hr
54528	Time/Date Adjust	1606	Adjust month	0 to 250 months
54528	Time/Date Adjust	1607	Adjust day	0 to 62.5 days
54528	Time/Date Adjust	1608	Adjust year	1985 to 2235 years
54528	Time/Date Adjust	1609	Adjust local minute offset	-125 to 125 mins
54528	Time/Date Adjust	1610	Adjust local hour offset	-125 to 125 hr
56320	Anti-theft Status	1194	Anti-theft Encryption Seed Present Indicator	0 to 3
56320	Anti-theft Status	1195	Anti-theft Password Valid Indicator	0 to 3
56320	Anti-theft Status	1196	Anti-theft Component Status States	0 to 3
56320	Anti-theft Status	1197	Anti-theft Modify Password States	0 to 3
56320	Anti-theft Status	1198	Anti-theft Random Number	0 to 255 per byte
56576	Anti-theft Request	1199	Anti-theft Encryption Indicator States	0 to 3
56576	Anti-theft Request	1200	Anti-theft Desired Exit Mode States	0 to 3
56576	Anti-theft Request	1201	Anti-theft Command States	0 to 7
56576	Anti-theft Request	1202	Anti-theft Password Representation	0 to 255 per byte
56832	Reset	988	Trip Group 1	0 to 3
56832	Reset	989	Trip Group 2 - Proprietary	0 to 3
56832	Reset	1584	Service Component Identification	0 to 250 ID
56832	Reset	1211	Engine Build Hours Reset	0 to 3
56832	Reset	3600	Steering Straight Ahead Position Reset	0 to 3
57344	Cab Message 1	986	Requested Percent Fan Speed	0 to 100 %
57344	Cab Message 1	1691	Cab Interior Temperature Command	-273 to 1735 deg C
57344	Cab Message 1	1684	Auxiliary Heater Coolant Pump Request	0 to 3
57344	Cab Message 1	1682	Battery Main Switch Hold Request	0 to 3
57344	Cab Message 1	1714	Operator Seat Direction Switch	0 to 3
57344	Cab Message 1	1856	Seat Belt Switch	0 to 3
57344	Cab Message 1	1655	Vehicle Limiting Speed Governor Decrement Switch	0 to 3
57344	Cab Message 1	1654	Vehicle Limiting Speed Governor Increment Switch	0 to 3
57344	Cab Message 1	1653	Vehicle Limiting Speed Governor Enable Switch	0 to 3
57344	Cab Message 1	3695	Diesel Particulate Filter Regeneration Inhibit Switch	0 to 3
57344	Cab Message 1	3696	Diesel Particulate Filter Regeneration Force Switch	0 to 3
57344	Cab Message 1	1666	Automatic Gear Shifting Enable Switch	0 to 3
57344	Cab Message 1	1656	Engine Automatic Start Enable Switch	0 to 3
57344	Cab Message 1	1683	Auxiliary Heater Mode Request	0 to 15
57344	Cab Message 1	1685	Request Engine Zone Heating	0 to 3
57344	Cab Message 1	1686	Request Cab Zone Heating	0 to 3
57344	Cab Message 1	2596	Selected Maximum Vehicle Speed Limit	0 to 250
61440	Electronic Retarder Controller 1	900	Retarder Torque Mode	0 to 15
61440	Electronic Retarder Controller 1	571	Retarder Enable - Brake Assist Switch	0 to 3
61440	Electronic Retarder Controller 1	572	Retarder Enable - Shift Assist Switch	0 to 3
61440	Electronic Retarder Controller 1	520	Actual Retarder - Percent Torque	-125 to 125 %
61440	Electronic Retarder Controller 1	1085	Intended Retarder Percent Torque	-125 to 125 %
61440	Electronic Retarder Controller 1	1082	Engine Coolant Load Increase	0 to 3
61440	Electronic Retarder Controller 1	1667	Retarder Requesting Brake Light	0 to 3
61440	Electronic Retarder Controller 1	4233	Retarder Road Speed Limit Switch	0 to 3
61440	Electronic Retarder Controller 1	4234	Retarder Road Speed Exceeded Status	0 to 3
61440	Electronic Retarder Controller 1	1480	Source Address of Controlling Device for Retarder Control	0 to 255
61440	Electronic Retarder Controller 1	1715	Drivers Demand Retarder -  Percent Torque	-125 to 125 %
61440	Electronic Retarder Controller 1	1716	"Retarder Selection, non-engine"	0 to 100 %
61440	Electronic Retarder Controller 1	1717	Actual Maximum Available Retarder - Percent Torque	-125 to 125 %
61441	Electronic Brake Controller 1	561	ASR Engine Control Active	0 to 3
61441	Electronic Brake Controller 1	562	ASR Brake Control Active	0 to 3
61441	Electronic Brake Controller 1	563	Anti-Lock Braking (ABS) Active	0 to 3
61441	Electronic Brake Controller 1	1121	EBS Brake Switch	0 to 3
61441	Electronic Brake Controller 1	521	Brake Pedal Position	0 to 100 %
61441	Electronic Brake Controller 1	575	ABS Off-road Switch	0 to 3
61441	Electronic Brake Controller 1	576	ASR Off-road Switch	0 to 3
61441	Electronic Brake Controller 1	577	"ASR ""Hill Holder"" Switch"	0 to 3
61441	Electronic Brake Controller 1	1238	Traction Control Override Switch	0 to 3
61441	Electronic Brake Controller 1	972	Accelerator Interlock Switch	0 to 3
61441	Electronic Brake Controller 1	971	Engine Derate Switch	0 to 3
61441	Electronic Brake Controller 1	970	Engine Auxiliary Shutdown Switch	0 to 3
61441	Electronic Brake Controller 1	969	Remote Accelerator Enable Switch	0 to 3
61441	Electronic Brake Controller 1	973	Engine Retarder Selection	0 to 100 %
61441	Electronic Brake Controller 1	1243	ABS Fully Operational	0 to 3
61441	Electronic Brake Controller 1	1439	EBS Red Warning Signal	0 to 3
61441	Electronic Brake Controller 1	1438	ABS/EBS Amber Warning Signal (Powered Vehicle)	0 to 3
61441	Electronic Brake Controller 1	1793	ATC/ASR Information Signal	0 to 3
61441	Electronic Brake Controller 1	1481	Source Address of Controlling Device for Brake Control	0 to 255
61441	Electronic Brake Controller 1	2911	Halt brake switch	0 to 3
61441	Electronic Brake Controller 1	1836	Trailer ABS Status	0 to 3
61441	Electronic Brake Controller 1	1792	Tractor-Mounted Trailer ABS Warning Signal	0 to 3
61442	Electronic Transmission Controller 1	560	Transmission Driveline Engaged	0 to 3
61442	Electronic Transmission Controller 1	573	Transmission Torque Converter Lockup Engaged	0 to 3
61442	Electronic Transmission Controller 1	574	Transmission Shift In Process	0 to 3
61442	Electronic Transmission Controller 1	191	Transmission Output Shaft Speed	"0 to 8,031.875 rpm"
61442	Electronic Transmission Controller 1	522	Percent Clutch Slip	0 to 100 %
61442	Electronic Transmission Controller 1	606	Engine Momentary Overspeed Enable	0 to 3
61442	Electronic Transmission Controller 1	607	Progressive Shift Disable	0 to 3
61442	Electronic Transmission Controller 1	161	Transmission Input Shaft Speed	"0 to 8,031.875 rpm"
61442	Electronic Transmission Controller 1	1482	Source Address of Controlling Device for Transmission Control	0 to 255
61443	Electronic Engine Controller 2	558	Accelerator Pedal 1 Low Idle Switch	0 to 3
61443	Electronic Engine Controller 2	559	Accelerator Pedal Kickdown Switch	0 to 3
61443	Electronic Engine Controller 2	1437	Road Speed Limit Status	0 to 3
61443	Electronic Engine Controller 2	2970	Accelerator Pedal 2 Low Idle Switch	0 to 3
61443	Electronic Engine Controller 2	91	Accelerator Pedal Position 1	0 to 100 %
61443	Electronic Engine Controller 2	92	Engine Percent Load At Current Speed	0 to 250 %
61443	Electronic Engine Controller 2	974	Remote Accelerator Pedal Position	0 to 100 %
61443	Electronic Engine Controller 2	29	Accelerator Pedal Position 2	0 to 100 %
61443	Electronic Engine Controller 2	2979	Vehicle Acceleration Rate Limit Status	0 to 3
61443	Electronic Engine Controller 2	3357	Actual Maximum Available Engine - Percent Torque	0 to 100 %
61444	Electronic Engine Controller 1	899	Engine Torque Mode	0 to 15
61444	Electronic Engine Controller 1	4154	Actual Engine - Percent Torque High Resolution	0 to 0.875%
61444	Electronic Engine Controller 1	512	Driver's Demand Engine - Percent Torque	-125 to 125 %
61444	Electronic Engine Controller 1	513	Actual Engine - Percent Torque	-125 to 125 %
61444	Electronic Engine Controller 1	190	Engine Speed	"0 to 8,031.875 rpm"
61444	Electronic Engine Controller 1	1483	Source Address of Controlling Device for Engine Control	0 to 255
61444	Electronic Engine Controller 1	1675	Engine Starter Mode	0 to 15
61444	Electronic Engine Controller 1	2432	Engine Demand – Percent Torque	-125 to 125 %
61445	Electronic Transmission Controller 2	524	Transmission Selected Gear	-125 to 125
61445	Electronic Transmission Controller 2	526	Transmission Actual Gear Ratio	0 to 64.255
61445	Electronic Transmission Controller 2	523	Transmission Current Gear	-125 to 125
61445	Electronic Transmission Controller 2	162	Transmission Requested Range	0 to 255 per byte
61445	Electronic Transmission Controller 2	163	Transmission Current Range	0 to 255 per byte
61446	Electronic Axle Controller 1	927	Location	0 to 255
61446	Electronic Axle Controller 1	567	Differential Lock State - Front Axle 1	0 to 3
61446	Electronic Axle Controller 1	568	Differential Lock State - Front Axle 2	0 to 3
61446	Electronic Axle Controller 1	569	Differential Lock State - Rear Axle 1	0 to 3
61446	Electronic Axle Controller 1	570	Differential Lock State - Rear Axle 2	0 to 3
61446	Electronic Axle Controller 1	564	Differential Lock State - Central	0 to 3
61446	Electronic Axle Controller 1	565	Differential Lock State - Central Front	0 to 3
61446	Electronic Axle Controller 1	566	Differential Lock State - Central Rear	0 to 3
61446	Electronic Axle Controller 1	3819	Front axle group engagement status	0 to 3
61446	Electronic Axle Controller 1	3820	Rear axle group engagement status	0 to 3
61447	Forward Lane Image urgent msg	3565	Lane Departure Left	0 to 3
61447	Forward Lane Image urgent msg	3566	Lane Departure Right	0 to 3
61447	Forward Lane Image urgent msg	1701	"Lane Departure Imminent, Right Side"	0 to 3
61447	Forward Lane Image urgent msg	1700	"Lane Departure Imminent, Left Side"	0 to 3
61448	Hydraulic Pressure Governor Info	1762	Hydraulic Pressure	"0 to 128,510 kPa"
61448	Hydraulic Pressure Governor Info	1763	Engine Hydraulic Pressure Governor Mode Indicator	0 to 3
61448	Hydraulic Pressure Governor Info	1764	Engine Hydraulic Pressure Governor Switch	0 to 3
61448	Hydraulic Pressure Governor Info	2599	Fire Apparatus Pump Engagement	0 to 3
61449	Vehicle Dynamic Stability Control 2	1807	Steering Wheel Angle	-31.374 to +31.374 rad
61449	Vehicle Dynamic Stability Control 2	1811	Steering Wheel Turn Counter	-32 to 29 turns
61449	Vehicle Dynamic Stability Control 2	1812	Steering Wheel Angle Sensor Type	0 to 3
61449	Vehicle Dynamic Stability Control 2	1808	Yaw Rate	-3.92 to +3.92 rad/s
61449	Vehicle Dynamic Stability Control 2	1809	Lateral Acceleration	-15.687 to +15.687 m/s²
61449	Vehicle Dynamic Stability Control 2	1810	Longitudinal Acceleration	-12.5 to +12.5 m/s²
61450	Engine Gas Flow Rate	2659	Engine Exhaust Gas Recirculation (EGR) Mass Flow Rate	0 to 3212.75 kg/h
61450	Engine Gas Flow Rate	132	Engine Inlet Air Mass Flow Rate	0 to 3212.75 kg/h
61451	Electronic Steering Control	2927	Actual Inner wheel steering angle	-125 to 125 deg
61451	Electronic Steering Control	2928	Axle Location	0 to 255
61451	Electronic Steering Control	2923	Status of Steering Axle	0 to 15
61451	Electronic Steering Control	2922	Steerable Lift Axle Lowering Inhibit	0 to 3
61451	Electronic Steering Control	2924	Steering Type	0 to 15
61451	Electronic Steering Control	2925	Type of Steering Forces	0 to 15
61451	Electronic Steering Control	2926	Type of Steering Transmission	0 to 15
61452	Electronic Transmission Controller #8	3030	Transmission Torque Converter Ratio	0 to 64.255
61453	Land Leveling System Operational Information	3156	Blade Control Mode Switch	0 to 15
61453	Land Leveling System Operational Information	3157	Desired Grade Offset Switch	0 to 15
61453	Land Leveling System Operational Information	3158	Blade Auto Mode Command	0 to 15
61453	Land Leveling System Operational Information	3334	Left Blade Control Mode Operator Control	0 to 15
61453	Land Leveling System Operational Information	3335	Right Blade Control Mode Operator Control	0 to 15
61453	Land Leveling System Operational Information	3336	Left Desired Blade Offset Operator Control	0 to 15
61453	Land Leveling System Operational Information	3337	Right Desired Blade Offset Operator Control	0 to 15
61453	Land Leveling System Operational Information	3338	Side-shift Blade Control Mode Operator Control	0 to 15
61453	Land Leveling System Operational Information	3339	Side-shift Desired Blade Offset Operator Control	0 to 15
61454	Aftertreatment 1 Intake Gas 1	3216	Aftertreatment 1 Intake NOx	-200 to 3012.75 ppm
61454	Aftertreatment 1 Intake Gas 1	3217	Aftertreatment 1 Intake %O2	-12% to 21%
61454	Aftertreatment 1 Intake Gas 1	3218	Aftertreatment 1 Intake Gas Sensor Power In Range	0 to 3
61454	Aftertreatment 1 Intake Gas 1	3219	Aftertreatment 1 Intake Gas Sensor at Temperature	0 to 3
61454	Aftertreatment 1 Intake Gas 1	3220	Aftertreatment 1 Intake NOx Reading Stable	0 to 3
